store_id,zone,state,city,pincode,p1DC,status,format
3879,East,West Bengal,Kolkata,700060,SLKO,OPERATIONAL,DIGITAL EXPRESS MINI
6535,South 1,Andhra Pradesh,Ongole,523001,S0UG,OPERATIONAL,DIGITAL EXPRESS MINI
3778,South 2,Kerala,Nedumangad,695541,SD78,OPERATIONAL,DIGITAL EXPRESS MINI
7589,West 1,Maharashtra,Pune,411028,V014,OPERATIONAL,DIGITAL EXPRESS MINI
TFB7,West,Maharashtra,Mumbai,400709,R696,OPERATIONAL,Digital
TW82,South 3,Kerala,Palakkad,678013,SD78,OPERATIONAL,Digital
3618,South 2,Tamil Nadu,Attur,636102,S0TC,OPERATIONAL,DIGITAL EXPRESS MINI
9557,South 3,Kerala,Kollam,691001,SD78,OPERATIONAL,Digital
7833,South 2,Tamil Nadu,Coimbatore,641011,S0TC,OPERATIONAL,DIGITAL EXPRESS MINI
8673,South 2,Andhra Pradesh,Eluru,534002,S0UG,OPERATIONAL,Digital
6476,West 1,Maharashtra,Mumbai,400080,R696,OPERATIONAL,DIGITAL EXPRESS MINI
7998,West 2,Gujarat,Vadodara,390025,SLTY,OPERATIONAL,DIGITAL EXPRESS MINI
3752,West 1,Maharashtra,Chopda,425107,R696,Closed,DIGITAL EXPRESS MINI
8978,South 3,Tamil Nadu,Chennai,600044,SJ99,OPERATIONAL,Digital
TAZ4,South 3,Tamil Nadu,Chennai,600026,SJ99,OPERATIONAL,Digital
6560,North 2,Uttar Pradesh,Varanasi,221002,SC28,OPERATIONAL,DIGITAL EXPRESS MINI
TES0,South 1,Karnataka,Bangalore,560049,R396,OPERATIONAL,Digital
T86Y,East,West Bengal,Kolkata,700129,SLKO,OPERATIONAL,Digital
3556,South 2,Tamil Nadu,Gudiyatham,632602,SJ99,OPERATIONAL,DIGITAL EXPRESS MINI
6317,East,West Bengal,Kolkata,700108,SLKO,OPERATIONAL,DIGITAL EXPRESS MINI
8996,North 1,Delhi NCR,Delhi,110092,SJ93,OPERATIONAL,DIGITAL EXPRESS MINI
7896,South 2,Tamil Nadu,Madurai,625001,S0TC,OPERATIONAL,DIGITAL EXPRESS MINI
3565,West 2,Gujarat,Anand,388120,SLTY,OPERATIONAL,DIGITAL EXPRESS MINI
7673,North 1,Punjab,Ludhiana,141001,S0CV,OPERATIONAL,DIGITAL EXPRESS MINI
7827,East,Jharkhand,Bokaro Steel City,827004,R278,OPERATIONAL,DIGITAL EXPRESS MINI
6441,East,Odisha,Rourkela,769001,R278,OPERATIONAL,DIGITAL EXPRESS MINI
6923,North 2,Uttar Pradesh,Moradabad,244001,SJ93,OPERATIONAL,DIGITAL EXPRESS MINI
8972,West,Maharashtra,Mumbai,400049,R696,OPERATIONAL,Digital
3693,North 2,Uttar Pradesh,Bhadohi,221401,SC28,OPERATIONAL,DIGITAL EXPRESS MINI
3888,North 1,Punjab,Phagwara,144401,S0CV,OPERATIONAL,DIGITAL EXPRESS MINI
T634,East,North East,Shillong,793001,S597,OPERATIONAL,DIGITAL EXPRESS MINI
TU53,North 2,Jharkhand,Dhanbad,826001,R278,OPERATIONAL,DIGITAL EXPRESS MINI
8465,North 1,Haryana,Panchkula,134109,S0CV,OPERATIONAL,Digital
8979,South 3,Tamil Nadu,Chennai,600053,SJ99,OPERATIONAL,Digital
3899,South 2,Kerala,Cherthala,688524,SD78,OPERATIONAL,DIGITAL EXPRESS MINI
6689,North 2,Bihar,Muzaffarpur,842001,R394,OPERATIONAL,DIGITAL EXPRESS MINI
TVL1,Central,Madhya Pradesh,Bhopal,462022,S0GZ,OPERATIONAL,Digital
7848,West 2,Rajasthan,Ajmer,305001,R810,OPERATIONAL,DIGITAL EXPRESS MINI
T647,North 2,Bihar,Begusarai,851101,R394,OPERATIONAL,DIGITAL EXPRESS MINI
TCB1,North 2,Uttar Pradesh,Lucknow,226006,SC28,OPERATIONAL,Digital
7873,South 1,Karnataka,Bangalore,560016,R396,OPERATIONAL,DIGITAL EXPRESS MINI
3622,North 2,Uttar Pradesh,Gonda,271002,SC28,OPERATIONAL,DIGITAL EXPRESS MINI
TY23,South 2,Telangana,Khammam,507101,S0UG,OPERATIONAL,Digital
6305,North 2,Uttar Pradesh,Muzaffarnagar,251001,SLOR,OPERATIONAL,DIGITAL EXPRESS MINI
3835,North 2,Uttar Pradesh,Dadri,201301,SJ93,OPERATIONAL,DIGITAL EXPRESS MINI
6315,West 1,Chhattisgarh,Bhilai,490023,S573,OPERATIONAL,DIGITAL EXPRESS MINI
6428,West 1,Maharashtra,Nashik,422002,R696,OPERATIONAL,DIGITAL EXPRESS MINI
TH23,East,Nagaland,Kohima,797001,S597,OPERATIONAL,DIGITAL EXPRESS MINI
TZ06,North 1,Haryana,Ambala Cantt,133001,S0CV,OPERATIONAL,DIGITAL EXPRESS MINI
8843,North 1,Delhi NCR,Delhi,110092,SJ93,OPERATIONAL,Digital
