similargrouplevel,cluster_id,store_id
421001002,1,TY58
421001002,1,TTA1
421001002,1,TTK9
421001002,1,TTA7
421001002,1,TJY9
421001002,1,TJH9
421001002,1,TGW4
421001002,1,TCQ9
421001002,1,T61P
421001002,1,TSX1
421001002,1,TLQ8
421001002,1,T64N
421001002,1,TKB7
421001002,1,TEZ1
421001002,1,T1QZ
421001002,1,TXW5
421001002,1,TSW6
421001002,1,T86C
421001002,1,TEU4
421001002,1,TTR5
421001002,1,TWVB
421001002,1,TME4
421001002,1,TJV5
421001002,1,TJE4
421001002,1,TKT9
421001002,1,TCD0
421001002,1,TW70
421001002,1,TEB6
421001002,1,TA3A
421001002,1,TA2N
421001002,1,TGI0
421001002,1,TU85
421001002,1,T36A
421001002,1,TLB0
421001002,1,TWVC
421001002,1,T11F
421001002,1,TR98
421001002,1,TFV7
421001002,1,TCY3
421001002,1,TW46
421001002,1,TSX7
421001002,1,TQ98
421001002,1,TPW7
421001002,1,TV30
421001002,1,TWUA
421001002,1,TIR7
421001002,1,T38C
421001002,1,TJK6
421001002,1,TTD1
421001002,1,TLM6
421001002,1,TLM2
421001002,1,TGA9
421001002,1,TTC7
421001002,1,TBA0
421001002,1,TFR5
421001002,1,TX5D
421001002,1,TSV7
421001002,1,TSW7
421001002,1,TS03
421001002,1,TQD5
421001002,1,TLB2
421001002,1,TTL6
421001002,1,TR09
421001002,1,TJE1
421001002,1,TTO8
421001002,1,TLN3
421001002,1,TKV9
421001002,1,TXZR
421001002,1,TWTL
421001002,1,TSY3
421001002,1,TR58
421001002,1,TQD4
421001002,1,TTD2
421001002,1,TGR2
421001002,1,TP80
421001002,1,TSW9
421001002,1,TL37
421001002,1,TGI7
421001002,1,TWWA
421001002,1,TKR7
421001002,1,TAZY
421001002,1,TX7E
421001002,1,TTB5
421001002,1,TJD4
421001002,1,TFZ8
421001002,1,T41K
421001002,2,TKY3
421001002,2,9592
421001002,2,TSQ9
421001002,2,TSZ5
421001002,2,TS84
421001002,2,TLA5
421001002,2,TDN8
421001002,2,R215
421001002,2,TY60
421001002,2,TX1I
421001002,2,T76N
421001002,2,T509
421001002,2,8068
421001002,2,TWPS
421001002,2,TG6N
421001002,2,TDY9
421001002,2,TAUT
421001002,2,TSZ6
421001002,2,T9GT
421001002,2,TOB2
421001002,2,TO17
421001002,2,T85Y
421001002,2,8022
421001002,2,TXXO
421001002,2,T847
421001002,2,TPW4
421001002,2,TKE9
421001002,2,T1BG
421001002,2,TGJ1
421001002,2,TFC6
421001002,2,TO38
421001002,2,TFM6
421001002,2,TDU4
421001002,2,TX8F
421001002,2,TX5J
421001002,2,TL88
421001002,2,TDO7
421001002,2,TCS9
421001002,2,TAPJ
421001002,2,TLA2
421001002,2,TJA4
421001002,2,TWPD
421001002,2,TSV8
421001002,2,FR2M
421001002,2,TK77
421001002,2,TH50
421001002,2,T86W
421001002,2,TCT2
421001002,2,TR99
421001002,2,TKQ9
421001002,2,TDY2
421001002,2,TANL
421001002,2,TZUQ
421001002,2,TFM9
421001002,2,TDV3
421001002,2,TOW4
421001002,2,8137
421001002,2,TSX8
421001002,2,TWVW
421001002,2,TGI5
421001002,2,TX1T
421001002,2,TKB2
421001002,2,TH47
421001002,2,TQ97
