productid,title,brandname,imgcode,styletype,colorfamily,pattern,neckline,l1name,l2name,brickname,total_qty_sold,mrp,weekly_rate_of_sale,total_active_days
443003266_navy,embroidered straight kurta,avaasa,20221020/lILn/6351242aaeb269659c5191b4,straight,navy,embroidery,round,Women,Ethnic Wear,Kurtas,459,699.0,803,4.00
443006957_offwhite,embellished straight kurta,avaasa,20230223/BvN8/63f70a5cf997dde6f4beb226,straight,white,embellished,round,Women,Ethnic Wear,Kurtas,465,799.0,798,4.08
443008664_darkred,graphic print round-neck t-shirt,kg-frendz,20230303/NfD3/64020a0cf997dde6f4dc197e,round,red,graphic,round,Girls,Western Wear,Tshirts,2203,349.0,797,19.34
443005880_darkgreen,printed straight kurta,fusion,20221122/2uVf/637c6f3daeb269659ca502c7,straight,green,micro-print,mandarin,Women,Ethnic Wear,Kurtas,682,684.71,797,5.99
441128505_jetblack,men fastdry active panelled track pants,performax,20220125/NdPb/61ef13c0aeb2695cdd2bb6b8,straight,black,solid,,Men,Western Wear,Track Pants,3507,799.0,791,31.00
443008710_beige,slim fit flat-front jogger pants,dnmx,20230324/WVOP/641db8a5711cf97ba7ee053a,flat-front,beige,solid,,Men,Western Wear,Trousers & Pants,237,1161.5,788,2.10
443008964_ltpink,printed round-neck straight kurta,fusion,20230116/90U2/63c4f002aeb269c651e147de,straight,pink,stripes,round,Women,Ethnic Wear,Kurtas,471,699.0,782,4.21
443007662_pink,embroidered straight kurta,avaasa,20221222/aaci/63a3fbc8aeb269659c012764,straight,pink,embroidery,round,Women,Ethnic Wear,Kurtas,351,799.0,779,3.15
443013788_rust,flared kurta with placement embroidery,siyahi,20230615/epK6/648b33c042f9e729d7458d0b,flared,rust,embroidery,round,Women,Ethnic Wear,Kurtas,230,1099.0,775,2.08
443011029_yellow,typographic print crew-neck t-shirt,dnmx,20230213/a9nN/63ea11c4aeb26924e369ee0a,crew,yellow,typographic,crew,Women,Western Wear,Tshirts,1505,399.0,771,13.66
443018470_jetblack,embroidered round-neck top,dnmx,20230707/c4dg/64a8001aa9b42d15c9448403,regular,black,embellished,round,Women,Western Wear,Tops,114,699.0,768,1.04
443005067_grey,typographic print round-neck t-shirt,kb-team-spirit,20221018/qjLS/634ecd15aeb269659c4c7523,round,grey,typographic,round,Boys,Western Wear,Tshirts,1266,299.0,767,11.55
441145457_green,block print straight kurta,avaasa,20220711/JP5n/62cc3bd8f997dd03e2c99fa4,straight,green,block-print,round,Women,Ethnic Wear,Kurtas,325,799.0,762,2.98
443011036_charcoal,printed crew-neck t-shirt,dnmx,20230116/W32w/63c52938f997dd708e08dd20,round,charcoal,floral,round,Women,Western Wear,Tshirts,3369,599.0,760,31.00
443001151_ltyellow,typographic print crew-neck t-shirt,teamspirit,20221031/nNvG/635f6d55f997ddfdbd4ac035,crew,yellow,typographic,crew,Women,Western Wear,Tshirts,3369,499.0,760,31.00
466428340_black,loose fit graphic print round-neck t-shirt,bullmer,20230812/bpEp/64d77730eebac147fcc4f16c,round,grey-melange,graphic,round,Women,Ethnic Wear,Kurtas,3366,1499.0,760,31.00
466888235_pink,women floral print flared kurta suit set,wedani,20231215/cMpe/657b6010afa4cf41f5d2dd95,flared,pink,floral,,Women,Ethnic Wear,Kurta Suit Sets,2483,2499.0,755,23.01
443005523_yellow,schiffli embroidered straight kurta,avaasa,20221222/iJPL/63a3faf4aeb269659c0122eb,straight,yellow,embroidery,round,Women,Ethnic Wear,Kurtas,3340,899.0,754,31.00
443007692_ltblue,floral print round-neck straight kurta,avaasa,20221222/rCz0/63a3faeeaeb269659c01221c,straight,blue,floral,round,Women,Ethnic Wear,Kurtas,957,699.0,751,8.91
443015737_navy,printed flared kurta,avaasa,20230605/vNUC/647e22e142f9e729d7254cbd,flared,navy,indian,mandarin,Women,Ethnic Wear,Kurtas,332,1099.0,751,3.09
466817674_seagreen,men knitted loose fit shirt with mandarin collar,wuxi,20231121/C6c3/655cdbefafa4cf41f596bcc7,knitted,sea-green,textured,,Men,Western Wear,Shirts,3303,2399.0,745,31.00
443010109_offwhite,graphic print round-neck t-shirt,inf-frendz,20230314/oDZQ/641014fef997dde6f4f781dc,crew,off-white,graphic,round,Infants,Western Wear,Tshirts,3191,249.0,743,30.02
467312071_orange,women printed shirt dress,leriya-fashion,20240513/46M6/66416ff716fd2c6e6afeff61,shirt,orange,abstract,collar,Women,Western Wear,Dresses,2015,2299.0,742,19.00
443005063_navy,graphic print round-neck t-shirt,kb-team-spirit,20221018/Q22l/634ec8deaeb269659c4c611d,round,navy,graphic,round,Boys,Western Wear,Tshirts,3254,399.0,734,31.00
443021385_rosegold,straight kurta with embroidered yoke,avaasa,20230905/8ktV/64f71a9dafa4cf41f5a75991,straight,rose-gold,embroidery,round,Women,Ethnic Wear,Kurtas,632,1099.0,729,6.06
443015877_white,men slim fit shirt with patch pocket,netplay,20230714/Dyth/64b1836eeebac147fc6ed762,classic,white,solid,,Men,Western Wear,Shirts,515,1099.0,728,4.95
443011027_darkblue,graphic print slim fit crew-neck t-shirt,dnmx,20230227/wxFb/63fcc608aeb26924e3931556,crew,blue,graphic,crew,Women,Western Wear,Tshirts,3012,499.0,726,29.04
443008847_grey,printed straight kurta with insert pocket,siyahi,20230118/hRqS/63c7da1faeb269c651e9c5ae,basic,grey,indian,mandarin,Women,Ethnic Wear,Kurtas,132,699.0,725,1.27
443007687_ltolive,printed a-line kurta,avaasa,20221230/bXnW/63aed522f997ddfdbd04fecf,a-line,olive,geometric,round,Women,Ethnic Wear,Kurtas,1789,799.0,720,17.39
441141224_green,printed straight kurta with button placket,avaasa,20220505/IKq2/6272d410aeb26921af552085,straight,green,indian,round,Women,Ethnic Wear,Kurtas,314,699.0,719,3.06
443008953_black,striped straight kurta,fusion,20230111/QCGQ/63be5807f997dd708efe3a90,straight,black,stripes,round,Women,Ethnic Wear,Kurtas,1302,699.0,718,12.68
443014466_burgandy,foil print round-neck straight kurta,avaasa,20230609/zVTi/648350c1d55b7d0c635e3bfd,straight,burgundy,floral,round,Women,Ethnic Wear,Kurtas,713,1099.0,715,6.98
