sap_id,br_code,min_qty,max_qty
490003366,T1FW,3,40 
493922604,TNS1,3,40
493921318,TNS1,3,40
493922820,TNS1,3,40
490701696,TNS1,3,40
493926821,TNS1,3,40
494000643,TNS1,3,40
493925125,TNS1,3,40
493923684,TNS1,3,40
493924627,TNS1,3,40
493926310,TNS1,3,40
493926055,TNS1,3,40
493923424,TNS1,3,40
493922053,TNS1,3,40
493925136,TNS1,3,40
494002650,TNS1,3,40
493924334,TNS1,3,40
493921831,TNS1,3,40
494005537,TNS1,3,40
493925846,TNS1,3,40
493921837,TNS1,3,40
493921638,TNS1,3,40
493924705,TNS1,3,40
493925131,TNS1,3,40
493925893,TNS1,3,40
493925991,TNS1,3,40
493925521,TNS1,3,40
493927695,TNS1,3,40
493922992,TNS1,3,40
493923556,TNS1,3,40
491984259,TNS1,3,40
493925351,TNS1,3,40
493922370,TNS1,3,40
493922485,TNS1,3,40
494000679,TNS1,3,40
493716722,TNS1,3,40
493923042,TNS1,3,40
494000665,TNS1,3,40
493921490,TNS1,3,40
493923044,TNS1,3,40
493925800,TNS1,3,40
493926253,TNS1,3,40
493923359,TNS1,3,40
494000716,TNS1,3,40
493925706,TNS1,3,40
493924088,TNS1,3,40
493925205,TNS1,3,40
493925041,TNS1,3,40
493926048,TNS1,3,40
493923299,TNS1,3,40
493924836,TNS1,3,40
493924923,TNS1,3,40
493924437,TNS1,3,40
493923503,TNS1,3,40
493924416,TNS1,3,40
493922272,TNS1,3,40
491570199,TNS1,3,40
493925202,TNS1,3,40
493923443,TNS1,3,40
493923566,TNS1,3,40
493922809,TNS1,3,40
493923045,TNS1,3,40
493924120,TNS1,3,40
493924473,TNS1,3,40
494003957,TNS1,3,40
493922349,TNS1,3,40
493921856,TNS1,3,40
493926389,TNS1,3,40
493923214,TNS1,3,40
493924549,TNS1,3,40
493926125,TNS1,3,40
493716721,TNS1,3,40
493926306,TNS1,3,40
493922159,TNS1,3,40
493921675,TNS1,3,40
494000608,TNS1,3,40
493924439,TNS1,3,40
493931318,TNS1,3,40
493926469,TNS1,3,40
494000585,TNS1,3,40
493922222,TNS1,3,40
493925824,TNS1,3,40
493924501,TNS1,3,40
493923423,TNS1,3,40
493925845,TNS1,3,40
493926349,TNS1,3,40
494000862,TNS1,3,40
493926373,TNS1,3,40
493924683,TNS1,3,40
493921972,TNS1,3,40
494004008,TNS1,3,40
493921881,TNS1,3,40
493922046,TNS1,3,40
493924821,TNS1,3,40
493921492,TNS1,3,40
493928264,TNS1,3,40
493925951,TNS1,3,40
493922845,TNS1,3,40
493922613,TNS1,3,40
493923006,TNS1,3,40
493923644,TNS1,3,40
493921659,TNS1,3,40
493925855,TNS1,3,40
493924741,TNS1,3,40
494002764,TNS1,3,40
493923505,TNS1,3,40
494000734,TNS1,3,40
493926589,TNS1,3,40
493924748,TNS1,3,40
493921466,TNS1,3,40
494000701,TNS1,3,40
493925004,TNS1,3,40
493922619,TNS1,3,40
493945635,TNS1,3,40
493925235,TNS1,3,40
493922615,TNS1,3,40
494000662,TNS1,3,40
493923707,TNS1,3,40
494000616,TNS1,3,40
493922372,TNS1,3,40
493922579,TNS1,3,40
493923717,TNS1,3,40
493925368,TNS1,3,40
493953402,TNS1,3,40
493926414,TNS1,3,40
493924179,TNS1,3,40
491629073,TNS1,3,40
493926337,TNS1,3,40
493926320,TNS1,3,40
493925390,TNS1,3,40
493923429,TNS1,3,40
493922657,TNS1,3,40
494004329,TNS1,3,40
493923599,TNS1,3,40
493931190,TNS1,3,40
493921838,TNS1,3,40
492519468,TNS1,3,40
493925373,TNS1,3,40
493925816,TNS1,3,40
493923326,TNS1,3,40
493922622,TNS1,3,40
493922022,TNS1,3,40
493924860,TNS1,3,40
493926144,TNS1,3,40
493924602,TNS1,3,40
493924070,TNS1,3,40
493924746,TNS1,3,40
494003531,TNS1,3,40
493926130,TNS1,3,40
493925128,TNS1,3,40
493923482,TNS1,3,40
493924234,TNS1,3,40
493922221,TNS1,3,40
490016444,TNS1,3,40
490740704,TNS1,3,40
493953120,TNS1,3,40
493951661,TNS1,3,40
493924102,TNS1,3,40
493926411,TNS1,3,40
494003720,TNS1,3,40
493925499,TNS1,3,40
493951930,TNS1,3,40
493923039,TNS1,3,40
493924226,TNS1,3,40
493921854,TNS1,3,40
493923978,TNS1,3,40
493925462,TNS1,3,40
493923371,TNS1,3,40
493924018,TNS1,3,40
493926684,TNS1,3,40
493922937,TNS1,3,40
493926797,TNS1,3,40
493922990,TNS1,3,40
494003925,TNS1,3,40
493923239,TNS1,3,40
494001044,TNS1,3,40
491435938,TNS1,3,40
493945345,TNS1,3,40
493925135,TNS1,3,40
493924021,TNS1,3,40
493925958,TNS1,3,40
493931210,TNS1,3,40
494000907,TNS1,3,40
490510970,TNS1,3,40
493924168,TNS1,3,40
490539009,TNS1,3,40
492519467,TNS1,3,40
493924223,TNS1,3,40
493925904,TNS1,3,40
493921822,TNS1,3,40
493933053,TNS1,3,40
493922894,TNS1,3,40
493926056,TNS1,3,40
493925139,TNS1,3,40
494002895,TNS1,3,40
493922950,TNS1,3,40
493925397,TNS1,3,40
494000744,TNS1,3,40
493926250,TNS1,3,40
493923196,TNS1,3,40
493921902,TNS1,3,40
493924367,TNS1,3,40
493926229,TNS1,3,40
493925434,TNS1,3,40
493924706,TNS1,3,40
493925726,TNS1,3,40
493926527,TNS1,3,40
493922533,TNS1,3,40
493924505,TNS1,3,40
490020638,TNS1,3,40
491470003,TNS1,3,40
493922832,TNS1,3,40
493946335,TNS1,3,40
493926644,TNS1,3,40
494001040,TNS1,3,40
493921647,TNS1,3,40
493922821,TNS1,3,40
493921751,TNS1,3,40
493925969,TNS1,3,40
493924336,TNS1,3,40
493922099,TNS1,3,40
493921962,TNS1,3,40
491629080,TNS1,3,40
493924629,TNS1,3,40
491061209,TNS1,3,40
493924268,TNS1,3,40
494002762,TNS1,3,40
494002349,TNS1,3,40
493926729,TNS1,3,40
493926424,TNS1,3,40
493921771,TNS1,3,40
493934764,TNS1,3,40
493922268,TNS1,3,40
490920547,TNS1,3,40
493921581,TNS1,3,40
493926402,TNS1,3,40
493924019,TNS1,3,40
493925849,TNS1,3,40
491061263,TNS1,3,40
493921530,TNS1,3,40
493925330,TNS1,3,40
493931645,TNS1,3,40
493930928,TNS1,3,40
493922837,TNS1,3,40
494005375,TNS1,3,40
493923598,TNS1,3,40
490782408,TNS1,3,40
493926783,TNS1,3,40
493923047,TNS1,3,40
490740702,TNS1,3,40
493921637,TNS1,3,40
494001068,TNS1,3,40
493926430,TNS1,3,40
493921867,TNS1,3,40
493924020,TNS1,3,40
493924885,TNS1,3,40
493926282,TNS1,3,40
494000562,TNS1,3,40
493953286,TNS1,3,40
493926308,TNS1,3,40
493934781,TNS1,3,40
490034334,TNS1,3,40
493924671,TNS1,3,40
493924262,TNS1,3,40
490740707,TNS1,3,40
493922620,TNS1,3,40
493929406,TNS1,3,40
494000832,TNS1,3,40
493926289,TNS1,3,40
493921399,TNS1,3,40
493924938,TNS1,3,40
494005553,TNS1,3,40
493926193,TNS1,3,40
494004584,TNS1,3,40
493923426,TNS1,3,40
493923038,TNS1,3,40
493925231,TNS1,3,40
