itemid,brandname,styletype,primarycolor,pattern,fabrictype,materialtype,sleeve,fit,neckline,imgcode,extension,mh_family_desc,mh_class_desc,brickname,mrp,total_qty,weekly_rate_of_sale,total_active_days
443025287_aqua,avaasa-mix-n-match,flared,aqua,floral,slub,,3-4th,,v,20231111/BTNN/654f9a54afa4cf41f58416f2/-,jpg,ethnic-wear,topwear,kurtas,2783.57,7231,4704,10.76
443036040_oldrose,avaasa-mix-n-match,basic,pink,micro-print,rayon,,3-4th,,round,20240304/vKVN/65e5b9be05ac7d77bb948e2a/-,jpg,ethnic-wear,topwear,kurtas,1497.86,7956,4687,11.88
443037417_navy,fusion,stylised,navy,,,,,,,20240327/ib40/66042e0405ac7d77bbdeb14e/-,jpg,ethnic-wear,topwear,kurtis,1069.29,7783,4642,11.74
443035849_beige,teamspirit,,,,,,,,,20240314/cOrc/65f3254c16fd2c6e6a5d7e57/-,jpg,active-wear,tops,t-shirts,926.71,6902,4616,10.46
443037379_green,yb-dnmx,,,,,,,,,20240322/DJOi/65fd97f305ac7d77bbd24dbb/-,jpg,youth-boys,top-wear,t-shirts,812.43,8025,4609,12.19
443033467_navy,avaasa-mix-n-match,basic,navy-blue,indian,viscose,,3-4th,,round,20240315/HKLs/65f4441b16fd2c6e6a5ff76c/-,jpg,ethnic-wear,topwear,kurtas,1497.86,8075,4592,12.31
443037555_mint,fusion,stylised,mint,,,,,,,20240313/wB5R/65f1c59805ac7d77bbb0f9fc/-,jpg,ethnic-wear,topwear,kurtis,1069.29,6769,4570,10.37
443024928_blue,netplay,shirts,blue,checks,cotton,,full,slim,,20231025/NO4r/653931ceddf77915195a41a3/-,jpg,smart-casuals,tops,shirts,2783.57,7247,4550,11.15
441142418_olive,kb-team-spirit,stylised,olive,solid,cotton,,,straight,,20220429/CoP6/626c03a0aeb26921af4bee0e/-,jpg,kids-boys,bottoms,pants,599.0,7314,4526,11.31
441128805_grey,dnmx,skinny,grey,washed,cotton,,,,,20220208/VLMh/62016f34aeb26921af8d5d60/-,jpg,casual-wear,bottoms,jeans,1049.0,7577,4502,11.78
